Dust monitor control board firmware version,2.03
Live_AlarmThresh,100.000
TWA8hr_AlarmThresh,10.000
TWA15m_AlarmThresh,10.000
OPC-N2 176880705                                            
OPC-N2 FirmwareVer=OPC-018.2.TRX..........................BD
Gain scaling coeff,1.000
Init Sample Flow Rate (ml/s),3.700
Laser DAC setting,179
Fan DAC setting,255
ToF to SFR factor,74
Bins,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Bin high boundary (ADC o/p),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
Volume of a particle in bin (um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
Density of a particle in bin (g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
Sample volume weighting for bin,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Data:
DateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Checksum,PMr,AvgLongValue,AvgShortValue,LiveUnits,AvgShortUnits,AvgLongUnits,LogRate(s),Channel_1,Channel_2
14/7/18 0:0:15,0,0,0,0,51,152,24,1,0,1,0,0,0,0,0,0,0,0,83,52,1.013,3.700,229,324.751,0.102,0.243,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
14/7/18 0:0:26,0,0,0,0,66,166,19,1,0,1,0,0,0,0,0,0,0,0,81,105,1.013,3.700,253,337.825,0.102,0.244,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
14/7/18 0:0:37,0,0,0,0,56,131,15,2,0,1,0,0,0,0,0,0,0,0,80,109,1.013,3.700,205,278.526,0.102,0.245,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
14/7/18 0:0:49,0,0,0,0,54,159,19,2,1,0,0,0,0,0,0,0,0,0,84,78,1.013,3.700,235,326.147,0.103,0.245,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
14/7/18 0:1:0,0,0,0,0,60,45,3,0,0,1,0,0,0,0,0,0,0,0,74,0,1.013,3.700,109,118.489,0.103,0.244,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
14/7/18 0:1:11,0,0,0,1,49,36,3,0,0,0,0,0,0,0,0,0,0,181,84,0,1.013,3.700,89,90.920,0.103,0.242,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
14/7/18 0:1:23,0,0,0,0,36,93,12,0,1,0,0,0,0,0,0,0,0,0,82,0,1.013,3.700,142,192.852,0.103,0.241,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
14/7/18 0:1:34,0,0,0,0,39,136,23,1,1,0,0,0,0,0,0,0,0,0,80,97,1.013,3.700,200,292.000,0.103,0.241,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
14/7/18 0:1:45,0,0,0,0,67,181,24,2,1,0,0,0,0,0,0,0,0,0,78,75,1.013,3.700,275,379.705,0.103,0.242,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
14/7/18 0:1:57,0,0,0,0,69,157,10,1,0,0,0,0,0,0,0,0,0,0,79,211,1.013,3.700,237,291.340,0.103,0.243,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
14/7/18 0:2:8,0,0,0,0,57,143,16,1,0,0,1,0,0,0,0,0,0,0,78,124,1.013,3.700,218,290.256,0.103,0.244,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
14/7/18 0:2:19,0,0,0,0,63,138,12,0,0,0,0,0,0,0,0,0,0,0,84,0,1.013,3.700,213,262.389,0.103,0.245,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
14/7/18 0:2:31,0,0,0,0,52,163,20,2,0,0,0,0,0,0,0,0,0,0,79,72,1.013,3.700,237,324.936,0.103,0.246,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
14/7/18 0:2:42,0,0,0,0,60,158,23,0,0,0,0,0,0,0,0,0,0,0,80,0,1.013,3.700,241,321.076,0.103,0.247,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
14/7/18 0:2:53,0,0,0,0,58,199,47,2,0,0,0,0,0,0,0,0,0,0,89,81,1.013,3.700,306,461.019,0.103,0.248,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
14/7/18 0:3:5,0,0,0,0,53,174,17,1,1,0,0,1,0,0,0,0,0,0,86,104,1.013,3.700,247,337.038,0.103,0.249,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
14/7/18 0:3:16,0,0,0,0,64,199,34,2,0,1,0,0,0,0,0,0,0,0,77,83,1.013,3.700,300,432.927,0.103,0.250,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
14/7/18 0:3:27,0,0,0,0,58,136,13,0,1,1,0,0,0,0,0,0,0,0,85,0,1.013,3.700,209,276.189,0.103,0.251,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
14/7/18 0:3:39,0,0,0,0,46,156,24,1,0,0,0,0,0,0,0,0,0,0,79,163,1.013,3.700,227,318.021,0.104,0.251,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
14/7/18 0:3:50,0,0,0,0,50,158,22,1,0,0,0,1,0,0,0,0,0,0,85,109,1.013,3.700,232,321.411,0.104,0.252,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
14/7/18 0:4:1,0,0,0,0,61,164,25,1,0,0,0,0,0,0,0,0,0,0,81,51,1.013,3.700,251,342.027,0.104,0.253,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
14/7/18 0:4:13,0,0,0,0,63,206,22,1,1,0,0,0,0,0,0,0,0,0,80,110,1.013,3.700,293,397.380,0.104,0.254,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
14/7/18 0:4:25,0,0,0,0,53,175,23,2,0,0,0,0,0,0,0,0,0,0,87,134,1.013,3.700,253,350.792,0.104,0.256,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
14/7/18 0:4:36,0,0,0,0,60,141,18,0,0,0,0,0,0,0,0,0,0,0,83,0,1.013,3.700,219,283.067,0.104,0.256,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
14/7/18 0:4:48,0,0,0,0,70,161,15,1,0,0,0,0,0,0,0,0,0,0,87,103,1.013,3.700,247,312.953,0.104,0.257,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
