Dust monitor control board firmware version,2.03
Live_AlarmThresh,100.000
TWA8hr_AlarmThresh,10.000
TWA15m_AlarmThresh,10.000
OPC-N2 176880705                                            
OPC-N2 FirmwareVer=OPC-018.2.TRX..........................BD
Gain scaling coeff,1.000
Init Sample Flow Rate (ml/s),3.700
Laser DAC setting,179
Fan DAC setting,255
ToF to SFR factor,74
Bins,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Bin high boundary (ADC o/p),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
Volume of a particle in bin (um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
Density of a particle in bin (g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
Sample volume weighting for bin,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Data:
DateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Checksum,PMr,AvgLongValue,AvgShortValue,LiveUnits,AvgShortUnits,AvgLongUnits,LogRate(s),Channel_1,Channel_2
21/7/18 0:0:14,0,0,1,24,14,3,0,0,0,0,0,0,0,0,0,0,0,48,42,0,1.013,3.700,42,22.886,0.028,0.027,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
21/7/18 0:0:26,0,0,0,24,12,5,0,0,0,0,0,0,0,0,0,0,0,61,33,0,1.013,3.700,41,23.959,0.028,0.027,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
21/7/18 0:0:37,0,0,0,25,13,4,0,0,0,0,0,0,0,0,0,0,0,45,29,0,1.013,3.700,42,23.716,0.028,0.027,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
21/7/18 0:0:48,0,0,0,29,8,2,0,0,0,0,1,0,0,0,0,0,0,50,61,0,1.013,3.700,40,25.941,0.028,0.027,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
21/7/18 0:1:0,0,0,0,42,7,1,0,0,0,0,0,0,0,0,0,0,0,44,21,0,1.013,3.700,50,22.077,0.028,0.027,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
21/7/18 0:1:11,0,0,0,28,7,2,2,1,0,0,0,0,0,0,0,0,0,47,29,104,1.013,3.700,40,30.468,0.028,0.027,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
21/7/18 0:1:22,0,0,0,29,9,3,0,0,0,0,0,0,0,0,0,0,0,48,66,0,1.013,3.700,41,21.156,0.028,0.027,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
21/7/18 0:1:34,0,0,1,29,5,2,0,0,0,0,0,0,0,0,0,0,0,40,33,0,1.013,3.700,37,17.250,0.028,0.027,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
21/7/18 0:1:45,0,0,0,28,7,1,0,1,0,0,0,0,0,0,0,0,0,53,21,47,1.013,3.700,37,22.884,0.028,0.027,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
21/7/18 0:1:56,0,0,0,28,11,1,1,0,0,0,0,0,0,0,0,0,0,40,17,0,1.013,3.700,41,22.667,0.028,0.027,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
21/7/18 0:2:8,0,0,0,16,11,4,1,0,0,0,0,0,0,0,0,0,0,50,67,0,1.013,3.700,32,22.056,0.028,0.027,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
21/7/18 0:2:19,0,0,0,43,15,2,0,0,0,0,0,0,0,0,0,0,0,50,62,0,1.013,3.700,60,29.297,0.028,0.027,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
21/7/18 0:2:30,0,0,0,35,8,1,0,0,0,0,0,0,0,0,0,0,0,52,17,0,1.013,3.700,44,20.113,0.028,0.027,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
21/7/18 0:2:42,0,0,1,27,9,2,1,0,0,0,0,0,0,0,0,0,0,54,50,0,1.013,3.700,40,22.391,0.028,0.027,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
21/7/18 0:2:53,0,0,0,25,6,5,0,0,0,0,0,0,0,0,0,0,0,51,43,0,1.013,3.700,36,20.193,0.028,0.027,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
21/7/18 0:3:4,0,0,0,24,7,1,0,0,0,0,0,0,0,0,0,0,0,55,23,0,1.013,3.700,32,15.251,0.028,0.027,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
21/7/18 0:3:16,0,0,0,28,15,5,0,0,0,0,0,0,0,0,0,0,0,44,34,0,1.013,3.700,48,27.549,0.028,0.027,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
21/7/18 0:3:27,0,0,0,21,8,1,2,0,0,0,0,0,0,0,0,0,0,43,40,0,1.013,3.700,32,21.075,0.028,0.027,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
21/7/18 0:3:38,0,0,0,28,14,6,0,0,0,0,0,0,0,0,0,0,0,52,46,0,1.013,3.700,48,28.171,0.028,0.027,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
21/7/18 0:3:49,0,0,0,41,13,6,3,1,0,0,0,0,0,0,0,0,0,47,62,33,1.013,3.700,64,47.932,0.028,0.027,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
