Dust monitor control board firmware version,2.03
Live_AlarmThresh,100.000
TWA8hr_AlarmThresh,10.000
TWA15m_AlarmThresh,10.000
OPC-N2 176880705                                            
OPC-N2 FirmwareVer=OPC-018.2.TRX..........................BD
Gain scaling coeff,1.000
Init Sample Flow Rate (ml/s),3.700
Laser DAC setting,179
Fan DAC setting,255
ToF to SFR factor,74
Bins,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Bin high boundary (ADC o/p),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
Volume of a particle in bin (um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
Density of a particle in bin (g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
Sample volume weighting for bin,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Data:
DateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Checksum,PMr,AvgLongValue,AvgShortValue,LiveUnits,AvgShortUnits,AvgLongUnits,LogRate(s),Channel_1,Channel_2
12/7/18 10:28:53,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,127,0,1.013,3.700,7,16.481,0.017,0.017,ug/m3,mg/m3,mg/m3,10.000,AvgShort,AvgShort,
12/7/18 10:29:4,0,0,0,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,85,81,1.013,3.700,7,20.278,0.013,0.013,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:29:15,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,103,0,1.013,3.700,5,17.425,0.013,0.013,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:29:27,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,89,0,1.013,3.700,7,9.770,0.012,0.012,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:29:38,0,0,0,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,63,0,1.013,3.700,10,19.176,0.012,0.012,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:29:49,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,103,0,1.013,3.700,5,8.388,0.013,0.013,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:30:1,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,75,0,1.014,3.700,7,12.837,0.012,0.012,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:30:12,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,80,108,1.013,3.700,6,15.704,0.012,0.012,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:30:24,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,76,0,1.013,3.700,6,10.901,0.012,0.012,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:30:36,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,64,0,1.014,3.700,4,6.837,0.012,0.012,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:30:47,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,49,0,1.013,3.700,7,13.414,0.012,0.012,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:30:58,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.013,3.700,3,4.517,0.012,0.012,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:31:10,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,106,0,1.013,3.700,5,9.588,0.012,0.012,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:31:21,0,0,0,0,1,6,6,0,1,0,1,0,0,0,0,0,0,0,81,0,1.013,3.700,15,42.389,0.013,0.013,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:31:32,0,0,0,0,3,4,0,0,1,0,0,0,0,0,0,0,0,0,83,0,1.013,3.700,8,15.544,0.013,0.013,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:31:44,0,0,0,0,0,9,2,2,1,0,0,0,0,0,0,0,0,0,112,124,1.013,3.700,14,38.541,0.014,0.014,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:31:55,0,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,78,0,1.013,3.700,8,12.905,0.014,0.014,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
