Dust monitor control board firmware version,2.03
Live_AlarmThresh,100.000
TWA8hr_AlarmThresh,10.000
TWA15m_AlarmThresh,10.000
OPC-N2 176880705                                            
OPC-N2 FirmwareVer=OPC-018.2.TRX..........................BD
Gain scaling coeff,1.000
Init Sample Flow Rate (ml/s),3.700
Laser DAC setting,179
Fan DAC setting,255
ToF to SFR factor,74
Bins,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Bin high boundary (ADC o/p),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
Volume of a particle in bin (um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
Density of a particle in bin (g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
Sample volume weighting for bin,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Data:
DateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Checksum,PMr,AvgLongValue,AvgShortValue,LiveUnits,AvgShortUnits,AvgLongUnits,LogRate(s),Channel_1,Channel_2
27/7/18 0:0:15,0,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,37,32,0,1.013,3.700,6,11.567,0.007,0.005,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
27/7/18 0:0:26,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,48,0,0,1.013,3.700,7,6.346,0.007,0.005,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
27/7/18 0:0:37,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,30,0,0,1.013,3.700,6,11.048,0.007,0.005,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
27/7/18 0:0:49,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,1.013,3.700,5,1.896,0.007,0.005,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
27/7/18 0:1:0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,32,19,0,1.014,3.700,7,6.241,0.007,0.005,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
27/7/18 0:1:11,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,1.013,3.700,5,1.689,0.007,0.005,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
27/7/18 0:1:23,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,48,0,0,1.013,3.700,5,4.652,0.007,0.005,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
27/7/18 0:1:34,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,1.013,3.700,6,3.210,0.007,0.005,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
27/7/18 0:1:45,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,1.013,3.700,3,0.930,0.007,0.005,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
27/7/18 0:1:57,0,0,2,4,0,1,0,0,0,1,0,0,0,0,0,0,0,47,19,0,1.013,3.700,8,11.702,0.007,0.005,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
27/7/18 0:2:8,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,48,47,0,1.013,3.700,6,5.965,0.007,0.005,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
27/7/18 0:2:19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,1.013,3.700,1,0.379,0.007,0.005,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
27/7/18 0:2:30,0,0,1,7,1,2,1,0,0,0,0,0,0,0,0,0,0,46,29,0,1.013,3.700,12,9.279,0.007,0.005,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
27/7/18 0:2:42,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,1.013,3.700,2,0.551,0.007,0.005,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
27/7/18 0:2:53,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,29,0,0,1.013,3.700,5,20.329,0.007,0.005,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
27/7/18 0:3:4,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,36,17,0,1.013,3.700,4,2.244,0.007,0.005,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
27/7/18 0:3:16,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,28,0,0,1.013,3.700,3,3.894,0.007,0.005,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
27/7/18 0:3:27,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,68,21,46,1.014,3.700,4,8.500,0.007,0.005,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
27/7/18 0:3:38,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,66,78,0,1.013,3.700,2,1.693,0.007,0.005,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
27/7/18 0:3:50,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0,0,48,47,0,1.013,3.700,10,5.350,0.007,0.005,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
27/7/18 0:4:1,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,29,0,0,1.013,3.700,6,5.655,0.007,0.005,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
27/7/18 0:4:12,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,1.014,3.700,5,1.896,0.007,0.005,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
