Dust monitor control board firmware version,2.03
Live_AlarmThresh,100.000
TWA8hr_AlarmThresh,10.000
TWA15m_AlarmThresh,10.000
OPC-N2 176880705                                            
OPC-N2 FirmwareVer=OPC-018.2.TRX..........................BD
Gain scaling coeff,1.000
Init Sample Flow Rate (ml/s),3.700
Laser DAC setting,179
Fan DAC setting,255
ToF to SFR factor,74
Bins,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Bin high boundary (ADC o/p),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
Volume of a particle in bin (um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
Density of a particle in bin (g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
Sample volume weighting for bin,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Data:
DateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Checksum,PMr,AvgLongValue,AvgShortValue,LiveUnits,AvgShortUnits,AvgLongUnits,LogRate(s),Channel_1,Channel_2
17/7/18 0:0:15,0,0,0,0,20,15,1,0,0,0,0,0,0,0,0,0,0,0,82,0,1.013,3.700,36,36.654,0.048,0.055,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:0:26,0,0,0,0,10,6,1,1,0,0,0,0,0,0,0,0,0,0,70,106,1.013,3.700,18,24.041,0.048,0.055,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:0:37,0,0,0,3,16,8,5,0,1,0,0,0,0,0,0,0,0,106,116,0,1.013,3.700,33,46.592,0.048,0.055,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:0:48,0,0,0,2,19,10,3,0,0,0,0,0,0,0,0,0,0,46,95,0,1.013,3.700,34,36.425,0.048,0.055,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:1:0,0,0,0,3,18,12,4,0,0,0,0,0,0,0,0,0,0,48,68,0,1.013,3.700,37,41.875,0.048,0.055,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:1:11,0,0,0,2,18,11,4,0,0,0,0,0,0,0,0,0,0,57,62,0,1.013,3.700,35,40.182,0.048,0.055,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:1:22,0,0,0,1,20,11,2,0,0,0,0,0,0,0,0,0,0,27,86,0,1.013,3.700,34,34.915,0.048,0.054,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:1:34,0,0,0,2,16,15,3,1,0,0,0,0,0,0,0,0,0,53,65,45,1.013,3.700,37,47.035,0.048,0.054,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:1:45,0,0,0,5,12,8,2,0,1,0,0,0,0,0,0,0,0,36,66,0,1.013,3.700,28,35.182,0.048,0.054,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:1:56,0,0,0,1,24,13,2,0,0,0,0,0,0,0,0,0,0,92,72,0,1.013,3.700,40,40.305,0.048,0.054,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:2:8,0,0,0,0,19,10,2,1,0,0,0,0,0,0,0,0,0,0,84,109,1.013,3.700,32,38.648,0.048,0.054,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:2:19,0,0,0,3,38,24,9,3,0,1,0,0,0,0,0,0,0,15,65,111,1.013,3.700,78,114.007,0.048,0.054,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:2:30,0,0,0,3,27,15,3,1,1,0,1,0,0,0,0,0,0,126,76,47,1.013,3.700,51,70.023,0.048,0.054,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:2:42,0,0,0,1,32,18,1,0,1,0,0,0,0,0,0,0,0,13,57,0,1.013,3.700,53,57.481,0.048,0.054,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:2:53,0,0,0,2,20,11,1,0,0,0,0,0,0,0,0,0,0,54,92,0,1.013,3.700,34,32.159,0.048,0.054,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:3:4,0,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,79,0,1.013,3.700,11,19.244,0.048,0.054,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:3:16,0,0,0,2,9,4,3,0,0,0,0,0,0,0,0,0,0,144,48,0,1.013,3.700,18,21.636,0.048,0.053,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:3:27,0,0,0,0,7,10,2,0,0,0,0,0,0,0,0,0,0,0,73,0,1.014,3.700,19,24.240,0.048,0.053,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:3:38,0,0,0,2,20,12,2,3,0,1,0,1,0,0,0,0,0,104,72,70,1.013,3.700,41,67.754,0.048,0.053,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:3:50,0,0,0,0,29,21,3,1,1,1,0,0,0,0,0,0,0,0,69,104,1.014,3.700,56,79.883,0.048,0.053,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:4:1,0,0,0,4,25,18,3,0,0,0,0,0,0,0,0,0,0,76,77,0,1.013,3.700,50,51.836,0.048,0.053,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:4:12,0,0,0,1,18,13,4,0,1,0,0,0,0,0,0,0,0,49,74,0,1.013,3.700,37,50.647,0.048,0.053,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:4:25,0,0,0,3,22,11,2,0,2,1,0,0,0,0,0,0,0,75,45,0,1.013,3.700,41,62.018,0.048,0.053,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:4:36,0,0,0,5,19,11,6,1,0,0,0,0,0,0,0,0,0,41,50,112,1.013,3.700,42,54.398,0.048,0.053,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:4:47,0,0,0,0,21,23,4,0,0,0,0,0,0,0,0,0,0,0,67,0,1.013,3.700,48,57.256,0.048,0.053,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:4:59,0,0,0,1,17,19,4,2,0,0,0,0,0,0,0,0,0,36,61,64,1.013,3.700,43,61.851,0.048,0.053,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:5:10,0,0,0,0,5,5,2,0,0,0,0,0,0,0,0,0,0,0,57,0,1.013,3.700,12,16.292,0.048,0.052,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:5:21,0,0,0,1,11,7,2,0,0,0,0,0,0,0,0,0,0,17,85,0,1.013,3.700,21,23.443,0.048,0.052,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:5:33,0,0,0,1,16,13,4,0,0,0,0,0,0,0,0,0,0,123,90,0,1.013,3.700,34,41.048,0.048,0.052,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:5:44,0,0,0,3,25,10,0,1,0,1,0,0,0,0,0,0,0,132,70,80,1.013,3.700,40,46.189,0.048,0.052,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:5:55,0,0,0,1,22,16,5,0,0,0,0,0,0,0,0,0,0,127,51,0,1.013,3.700,44,52.269,0.048,0.052,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:6:6,0,0,0,2,15,21,3,1,0,1,1,0,0,0,0,0,0,113,70,92,1.013,3.700,44,69.542,0.048,0.052,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:6:18,0,0,0,2,18,28,2,0,0,0,0,0,0,0,0,0,0,48,81,0,1.013,3.700,50,56.238,0.048,0.052,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:6:29,0,0,0,1,21,5,0,0,0,0,0,0,0,0,0,0,0,153,69,0,1.013,3.700,27,21.455,0.048,0.052,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:6:40,0,0,0,1,20,11,3,0,0,0,0,0,0,0,0,0,0,157,62,0,1.013,3.700,35,38.050,0.048,0.052,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:6:52,0,0,0,5,26,12,3,0,0,0,0,0,0,0,0,0,0,75,89,0,1.013,3.700,46,45.026,0.048,0.052,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:7:3,0,0,0,3,29,20,4,1,0,0,0,0,0,0,0,0,0,48,77,89,1.013,3.700,57,66.098,0.048,0.052,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:7:14,0,0,0,2,24,15,4,0,0,0,0,0,0,0,0,0,0,47,85,0,1.013,3.700,45,49.581,0.048,0.052,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:7:26,0,0,0,2,20,11,2,3,1,0,0,0,0,0,0,0,0,37,59,64,1.013,3.700,39,61.861,0.048,0.052,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:7:37,0,0,0,0,26,8,4,1,0,0,0,0,0,0,0,0,0,0,96,51,1.013,3.700,39,47.128,0.048,0.052,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:7:48,0,0,0,2,25,16,4,1,0,1,0,0,0,0,0,0,0,70,62,51,1.013,3.700,49,66.230,0.048,0.052,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:8:0,0,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,99,0,1.013,3.700,8,12.905,0.048,0.051,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:8:11,0,0,0,0,17,10,0,2,0,0,0,0,0,0,0,0,0,0,84,61,1.013,3.700,29,37.112,0.048,0.051,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:8:22,0,0,0,2,23,11,4,1,1,1,0,0,0,0,0,0,0,38,65,60,1.013,3.700,43,66.501,0.048,0.051,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:8:34,0,0,0,2,30,21,3,1,1,0,0,0,0,0,0,0,0,41,61,79,1.013,3.700,58,72.807,0.048,0.051,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:8:46,0,0,0,5,28,14,2,2,1,0,0,0,0,0,0,0,0,60,80,172,1.014,3.700,52,66.348,0.048,0.051,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:8:57,0,0,0,3,31,27,5,2,0,0,0,0,0,0,0,0,0,90,72,58,1.013,3.700,68,85.926,0.048,0.051,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:9:9,0,0,0,2,22,7,3,0,0,0,0,0,0,0,0,0,0,46,75,0,1.013,3.700,34,34.558,0.048,0.051,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:9:20,0,0,0,3,29,20,1,0,1,0,0,0,0,0,0,0,0,64,66,0,1.013,3.700,54,58.795,0.048,0.051,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:9:31,0,0,0,4,25,13,2,2,0,0,1,0,0,0,0,0,0,53,64,96,1.014,3.700,47,61.154,0.048,0.051,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:9:43,0,0,0,3,21,21,5,3,0,0,0,0,0,0,0,0,0,30,74,63,1.013,3.700,53,77.253,0.048,0.051,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:9:54,0,0,0,3,25,27,4,0,0,0,0,0,0,0,0,0,0,96,73,0,1.013,3.700,59,66.411,0.048,0.051,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:10:5,0,0,0,2,25,18,1,0,0,0,1,0,0,0,0,0,0,41,75,0,1.013,3.700,47,51.596,0.048,0.051,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:10:17,0,0,0,2,15,13,3,0,1,1,0,0,0,0,0,0,0,58,78,0,1.013,3.700,35,54.347,0.048,0.051,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:10:28,0,0,0,1,29,16,4,0,0,1,0,0,0,0,0,0,0,101,66,0,1.013,3.700,51,62.498,0.048,0.051,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:10:39,0,0,0,0,20,13,3,0,0,0,1,0,0,0,0,0,0,0,68,0,1.013,3.700,37,47.087,0.048,0.051,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:10:51,0,0,0,5,28,10,1,0,1,1,0,0,0,0,0,0,0,78,64,0,1.013,3.700,46,54.256,0.048,0.051,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:11:2,0,0,0,4,18,20,2,1,0,1,0,0,0,0,0,0,0,59,85,46,1.013,3.700,46,61.135,0.048,0.051,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:11:13,0,0,0,1,23,13,0,0,0,0,0,0,0,0,0,0,0,65,91,0,1.013,3.700,37,33.344,0.048,0.051,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:11:24,0,0,0,6,17,15,4,2,0,0,0,0,0,0,0,0,0,115,81,71,1.013,3.700,44,58.494,0.048,0.051,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:11:36,0,0,0,1,16,13,4,0,1,0,0,0,0,0,0,0,0,74,73,0,1.013,3.700,35,49.265,0.048,0.051,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:11:47,0,0,0,1,29,10,1,2,1,0,0,0,0,0,0,0,0,45,45,54,1.013,3.700,44,57.135,0.048,0.051,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
17/7/18 0:11:58,0,0,0,1,21,18,4,1,0,0,0,0,0,0,0,0,0,40,69,39,1.013,3.700,45,57.185,0.048,0.051,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
