Dust monitor control board firmware version,2.03
Live_AlarmThresh,100.000
TWA8hr_AlarmThresh,10.000
TWA15m_AlarmThresh,10.000
OPC-N2 176880705                                            
OPC-N2 FirmwareVer=OPC-018.2.TRX..........................BD
Gain scaling coeff,1.000
Init Sample Flow Rate (ml/s),3.700
Laser DAC setting,179
Fan DAC setting,255
ToF to SFR factor,74
Bins,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Bin high boundary (ADC o/p),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
Volume of a particle in bin (um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
Density of a particle in bin (g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
Sample volume weighting for bin,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Data:
DateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Checksum,PMr,AvgLongValue,AvgShortValue,LiveUnits,AvgShortUnits,AvgLongUnits,LogRate(s),Channel_1,Channel_2
28/7/18 0:0:14,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,108,0,1.013,3.700,2,2.004,0.007,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
28/7/18 0:0:26,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,40,47,0,1.013,3.700,5,3.454,0.007,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
28/7/18 0:0:37,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,42,21,0,1.014,3.700,5,3.142,0.007,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
28/7/18 0:0:48,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,1.013,3.700,5,1.896,0.007,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
28/7/18 0:0:59,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,43,46,0,1.013,3.700,5,3.142,0.007,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
28/7/18 0:1:11,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,53,0,0,1.013,3.700,4,4.273,0.007,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
28/7/18 0:1:22,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,48,0,1.013,3.700,3,2.176,0.007,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
28/7/18 0:1:33,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,43,0,0,1.013,3.700,3,3.894,0.007,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
28/7/18 0:1:45,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,47,0,1.013,3.700,6,17.183,0.007,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
28/7/18 0:1:56,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,67,40,0,1.013,3.700,3,2.383,0.007,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
28/7/18 0:2:7,0,0,0,3,1,2,1,0,0,0,0,0,0,1,0,0,0,41,44,0,1.013,3.700,8,8.666,0.007,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
28/7/18 0:2:19,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1.013,3.700,4,3.386,0.007,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
28/7/18 0:2:30,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,40,0,94,1.013,3.700,7,13.921,0.007,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
28/7/18 0:2:41,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,1.013,3.700,3,1.449,0.007,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
28/7/18 0:2:53,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,55,108,0,1.013,3.700,6,3.521,0.007,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
28/7/18 0:3:4,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,1.013,3.700,5,2.312,0.007,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
28/7/18 0:3:15,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,13,134,0,1.013,3.700,4,2.763,0.007,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
28/7/18 0:3:27,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,1.013,3.700,3,1.761,0.007,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
28/7/18 0:3:38,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,60,0,0,1.013,3.700,8,6.413,0.007,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
