Dust monitor control board firmware version,2.03
Live_AlarmThresh,100.000
TWA8hr_AlarmThresh,10.000
TWA15m_AlarmThresh,10.000
OPC-N2 176880705                                            
OPC-N2 FirmwareVer=OPC-018.2.TRX..........................BD
Gain scaling coeff,1.000
Init Sample Flow Rate (ml/s),3.700
Laser DAC setting,179
Fan DAC setting,255
ToF to SFR factor,74
Bins,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Bin high boundary (ADC o/p),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
Volume of a particle in bin (um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
Density of a particle in bin (g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
Sample volume weighting for bin,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Data:
DateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Checksum,PMr,AvgLongValue,AvgShortValue,LiveUnits,AvgShortUnits,AvgLongUnits,LogRate(s),Channel_1,Channel_2
18/7/18 0:0:14,0,0,0,3,1,3,1,1,0,1,0,0,0,0,0,0,0,40,40,25,1.013,3.700,10,23.548,0.016,0.011,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
18/7/18 0:0:25,0,0,0,5,1,4,1,0,0,0,0,0,0,0,0,0,0,39,42,0,1.013,3.700,11,10.976,0.016,0.011,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
18/7/18 0:0:37,0,0,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,40,34,0,1.013,3.700,8,5.318,0.016,0.011,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
18/7/18 0:0:48,0,0,0,6,3,2,1,0,0,0,0,0,0,0,0,0,0,38,61,0,1.013,3.700,12,10.110,0.016,0.011,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
18/7/18 0:0:59,0,0,0,3,0,5,1,0,1,0,0,0,0,0,0,0,0,38,43,0,1.013,3.700,10,19.057,0.016,0.011,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
18/7/18 0:1:11,0,0,1,3,4,0,0,1,0,0,0,0,0,0,0,0,0,45,0,50,1.013,3.700,9,10.189,0.016,0.011,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
18/7/18 0:1:22,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,28,35,0,1.013,3.700,8,7.659,0.016,0.011,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
18/7/18 0:1:33,0,0,1,3,2,3,0,1,0,0,0,0,0,0,0,0,0,38,33,31,1.013,3.700,10,12.748,0.016,0.011,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
18/7/18 0:1:44,0,0,1,5,3,3,1,0,0,0,0,0,0,0,0,0,0,36,33,0,1.013,3.700,13,11.216,0.016,0.011,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
18/7/18 0:1:56,0,0,0,6,0,3,1,0,0,0,0,0,0,0,0,0,0,47,64,0,1.013,3.700,10,9.350,0.016,0.011,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
18/7/18 0:2:7,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,54,55,0,1.013,3.700,7,4.212,0.016,0.011,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
18/7/18 0:2:18,0,0,1,4,2,3,1,0,0,0,0,0,0,0,0,0,0,56,60,0,1.013,3.700,11,10.146,0.016,0.011,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
18/7/18 0:2:30,0,0,1,5,4,1,3,0,0,0,0,0,0,0,0,0,0,49,29,0,1.013,3.700,14,15.550,0.016,0.011,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
18/7/18 0:2:41,0,0,0,2,4,2,1,0,1,0,0,0,0,0,0,0,0,32,36,0,1.013,3.700,10,17.501,0.016,0.011,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
18/7/18 0:2:52,0,0,1,3,3,4,0,1,0,0,0,0,0,0,0,0,0,34,32,70,1.013,3.700,12,14.752,0.016,0.011,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
18/7/18 0:3:4,0,0,0,9,4,1,0,0,0,0,0,0,0,0,0,0,0,39,50,0,1.013,3.700,14,7.490,0.016,0.011,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
18/7/18 0:3:15,0,0,0,2,2,4,0,0,0,1,0,0,0,0,0,0,0,55,38,0,1.013,3.700,9,15.922,0.016,0.011,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
18/7/18 0:3:26,0,0,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,25,62,0,1.013,3.700,8,5.629,0.016,0.011,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
18/7/18 0:3:38,0,0,0,5,1,0,1,1,0,0,0,0,0,0,0,0,0,43,0,58,1.013,3.700,8,11.839,0.016,0.011,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
