Dust monitor control board firmware version,2.03
Live_AlarmThresh,100.000
TWA8hr_AlarmThresh,10.000
TWA15m_AlarmThresh,10.000
OPC-N2 176880705                                            
OPC-N2 FirmwareVer=OPC-018.2.TRX..........................BD
Gain scaling coeff,1.000
Init Sample Flow Rate (ml/s),3.700
Laser DAC setting,179
Fan DAC setting,255
ToF to SFR factor,74
Bins,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Bin high boundary (ADC o/p),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
Volume of a particle in bin (um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
Density of a particle in bin (g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
Sample volume weighting for bin,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Data:
DateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Checksum,PMr,AvgLongValue,AvgShortValue,LiveUnits,AvgShortUnits,AvgLongUnits,LogRate(s),Channel_1,Channel_2
20/7/18 0:0:14,0,0,0,3,3,1,1,1,0,0,0,0,0,0,0,0,0,49,44,51,1.013,3.700,9,13.775,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:0:25,0,0,0,4,1,2,2,1,0,0,0,0,0,0,0,0,0,63,120,65,1.013,3.700,10,17.221,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:0:37,0,0,0,3,2,3,0,1,0,0,0,0,0,0,0,0,0,93,40,90,1.013,3.700,9,12.576,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:0:48,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,60,97,0,1.013,3.700,8,5.836,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:0:59,0,0,0,7,2,0,1,0,0,0,0,0,0,0,0,0,0,58,0,0,1.013,3.700,10,7.172,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:1:11,0,0,0,6,6,2,0,0,0,0,0,0,0,0,0,0,0,53,44,0,1.013,3.700,14,9.048,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:1:22,0,0,0,10,1,3,0,0,0,0,0,0,0,0,0,0,0,72,47,0,1.013,3.700,14,8.423,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:1:33,0,0,1,4,5,2,0,0,0,1,0,0,0,0,0,0,0,60,57,0,1.013,3.700,13,16.298,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:1:45,0,0,0,5,2,1,4,0,0,0,0,0,0,0,1,0,0,48,17,0,1.013,3.700,13,17.647,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:1:56,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,48,0,0,1.014,3.700,8,9.169,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:2:7,0,0,0,9,3,2,0,0,1,0,1,0,0,0,0,0,0,50,61,0,1.013,3.700,16,23.120,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:2:18,0,0,0,5,0,2,1,0,0,0,0,0,0,0,0,0,0,44,35,0,1.013,3.700,8,7.658,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:2:30,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,1.013,3.700,3,1.449,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:2:41,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,1.013,3.700,7,2.966,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:2:52,0,0,0,8,2,0,0,1,0,0,0,0,0,0,0,0,0,48,0,48,1.013,3.700,11,10.532,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:3:4,0,0,1,4,1,1,2,0,0,0,0,0,0,0,0,0,0,57,56,0,1.013,3.700,9,9.963,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:3:15,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,43,100,0,1.013,3.700,10,5.973,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:3:26,0,0,0,3,4,0,0,1,0,0,0,0,0,0,0,0,0,60,0,57,1.013,3.700,8,10.018,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:3:38,0,0,0,6,1,4,0,0,0,0,0,0,0,0,0,0,0,43,71,0,1.013,3.700,11,8.220,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:3:49,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,1.013,3.700,7,3.278,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:4:0,0,0,0,6,5,2,0,0,0,1,0,0,0,0,0,0,0,49,18,0,1.013,3.700,14,16.885,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:4:12,0,0,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,58,24,0,1.013,3.700,9,5.593,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:4:24,0,0,1,4,4,2,0,0,0,0,0,0,0,0,0,0,0,47,37,0,1.013,3.700,11,7.079,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:4:35,0,0,0,4,1,1,2,0,1,0,0,0,0,0,0,0,0,38,21,0,1.013,3.700,9,18.009,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:4:47,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,43,27,0,1.013,3.700,7,4.524,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:4:58,0,0,1,8,3,0,2,1,1,0,0,0,0,0,0,0,0,46,0,90,1.013,3.700,16,25.882,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:5:9,0,0,1,6,2,1,1,0,0,0,0,0,0,0,0,0,0,48,19,0,1.013,3.700,11,8.278,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:5:21,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,1.013,3.700,9,3.725,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:5:32,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,37,0,0,1.013,3.700,6,11.360,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:5:43,0,0,0,6,2,3,0,0,0,0,0,0,0,0,0,0,0,44,40,0,1.013,3.700,11,7.597,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:5:55,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,1.013,3.700,4,1.517,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:6:6,0,0,1,7,1,2,2,0,0,1,0,0,0,0,0,0,0,41,20,0,1.013,3.700,14,20.943,0.010,0.007,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:6:17,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,63,44,0,1.013,3.700,10,7.841,0.010,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:6:29,0,0,0,6,5,1,0,0,0,1,0,0,0,0,0,0,0,39,97,0,1.013,3.700,13,15.572,0.010,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:6:40,0,0,1,4,0,2,1,0,1,0,0,0,0,0,0,0,0,47,19,0,1.013,3.700,9,15.668,0.010,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:6:51,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,1.013,3.700,4,1.829,0.010,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:7:3,0,0,1,2,6,1,2,0,0,1,0,0,0,0,0,0,0,37,23,0,1.013,3.700,13,21.188,0.010,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
20/7/18 0:7:14,0,0,0,7,4,1,1,0,0,0,0,0,0,0,0,0,0,37,27,0,1.013,3.700,13,9.867,0.010,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
