Dust monitor control board firmware version,2.03
Live_AlarmThresh,100.000
TWA8hr_AlarmThresh,10.000
TWA15m_AlarmThresh,10.000
OPC-N2 176880705                                            
OPC-N2 FirmwareVer=OPC-018.2.TRX..........................BD
Gain scaling coeff,1.000
Init Sample Flow Rate (ml/s),3.700
Laser DAC setting,179
Fan DAC setting,255
ToF to SFR factor,74
Bins,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Bin high boundary (ADC o/p),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
Volume of a particle in bin (um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
Density of a particle in bin (g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
Sample volume weighting for bin,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Data:
DateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Checksum,PMr,AvgLongValue,AvgShortValue,LiveUnits,AvgShortUnits,AvgLongUnits,LogRate(s),Channel_1,Channel_2
12/7/18 10:21:59,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,109,125,1.013,3.700,6,15.705,0.013,0.013,ug/m3,mg/m3,mg/m3,10.000,AvgShort,Live,
12/7/18 10:22:10,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,116,0,1.013,3.700,4,14.373,0.013,0.013,ug/m3,mg/m3,mg/m3,10.000,AvgShort,Live,
12/7/18 10:22:22,0,0,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,17,91,0,1.013,3.700,8,13.216,0.014,0.014,ug/m3,mg/m3,mg/m3,10.000,AvgShort,Live,
12/7/18 10:22:33,0,0,0,0,6,3,2,0,0,0,0,0,0,0,0,1,0,0,94,0,1.013,3.700,12,14.627,0.014,0.014,ug/m3,mg/m3,mg/m3,10.000,AvgShort,Live,
12/7/18 10:22:44,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,110,0,1.013,3.700,8,9.884,0.013,0.013,ug/m3,mg/m3,mg/m3,10.000,AvgShort,Live,
12/7/18 10:22:56,0,0,0,0,3,5,3,0,0,1,0,0,0,0,0,0,0,0,90,0,1.013,3.700,12,26.573,0.013,0.013,ug/m3,mg/m3,mg/m3,10.000,AvgShort,Live,
12/7/18 10:23:7,0,0,0,0,1,4,4,1,0,0,0,0,0,0,0,0,0,0,88,124,1.013,3.700,10,24.601,0.014,0.014,ug/m3,mg/m3,mg/m3,10.000,AvgShort,Live,
12/7/18 10:23:18,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,88,0,1.013,3.700,6,7.835,0.018,0.018,ug/m3,mg/m3,mg/m3,10.000,AvgShort,Live,
12/7/18 10:23:30,0,0,0,0,1,5,5,0,0,0,0,1,0,0,0,0,0,0,78,0,1.013,3.700,12,27.203,0.018,0.018,ug/m3,mg/m3,mg/m3,10.000,AvgShort,Live,
12/7/18 10:23:41,0,0,0,0,3,4,3,1,1,1,0,0,0,0,0,0,0,0,106,133,1.013,3.700,13,39.594,0.018,0.018,ug/m3,mg/m3,mg/m3,10.000,AvgShort,Live,
