Dust monitor control board firmware version,2.03
Live_AlarmThresh,100.000
TWA8hr_AlarmThresh,10.000
TWA15m_AlarmThresh,10.000
OPC-N2 176880705                                            
OPC-N2 FirmwareVer=OPC-018.2.TRX..........................BD
Gain scaling coeff,1.000
Init Sample Flow Rate (ml/s),3.700
Laser DAC setting,179
Fan DAC setting,255
ToF to SFR factor,74
Bins,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Bin high boundary (ADC o/p),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
Volume of a particle in bin (um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
Density of a particle in bin (g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
Sample volume weighting for bin,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Data:
DateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Checksum,PMr,AvgLongValue,AvgShortValue,LiveUnits,AvgShortUnits,AvgLongUnits,LogRate(s),Channel_1,Channel_2
12/7/18 10:37:5,0,0,0,0,9,3,1,0,0,0,0,0,0,0,0,0,0,0,74,0,1.013,3.700,13,13.293,0.015,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:37:16,0,0,0,1,12,8,2,0,0,0,0,0,0,0,0,0,0,40,88,0,1.013,3.700,23,25.447,0.015,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:37:27,0,0,0,1,8,6,1,0,0,0,0,0,0,0,0,0,0,71,59,0,1.013,3.700,16,16.922,0.015,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:37:39,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,82,0,1.013,3.700,15,15.965,0.015,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:37:50,0,0,0,1,7,5,3,1,0,0,0,0,0,0,0,0,0,154,88,58,1.013,3.700,17,27.304,0.015,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:38:1,0,0,0,1,2,6,2,1,0,0,0,0,0,0,0,0,0,74,58,205,1.013,3.700,12,22.028,0.015,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:38:13,0,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,66,81,1.014,3.700,8,12.820,0.015,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:38:24,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,76,0,1.013,3.700,12,10.781,0.015,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:38:35,0,0,0,0,11,6,1,0,1,1,0,0,0,0,0,0,0,0,84,0,1.013,3.700,20,35.362,0.015,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:38:47,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,71,0,1.013,3.700,22,22.047,0.015,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:38:58,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,76,0,1.013,3.700,21,15.754,0.015,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:39:9,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,79,0,1.013,3.700,18,16.171,0.016,0.016,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:39:21,0,0,0,1,10,6,1,0,0,0,0,0,0,0,0,0,0,159,103,0,1.013,3.700,18,18.304,0.016,0.016,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:39:32,0,0,0,1,11,6,0,1,0,0,0,0,0,0,0,0,0,45,110,35,1.013,3.700,19,21.976,0.016,0.016,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:39:43,0,0,0,1,12,6,3,0,0,0,0,0,0,0,0,0,0,17,91,0,1.013,3.700,22,25.956,0.016,0.016,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:39:55,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,68,0,1.013,3.700,11,9.467,0.016,0.016,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:40:6,0,0,0,0,13,4,1,0,0,0,0,0,0,0,0,0,0,0,60,0,1.013,3.700,18,17.370,0.016,0.016,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:40:17,0,0,0,0,9,6,1,0,0,0,0,0,0,0,0,0,0,0,93,0,1.013,3.700,16,17.233,0.016,0.016,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:40:29,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,84,0,1.013,3.700,13,12.094,0.016,0.016,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:40:40,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,105,0,1.013,3.700,16,13.544,0.016,0.016,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:40:51,0,0,0,0,8,4,0,1,0,0,0,0,0,0,0,0,0,0,77,149,1.013,3.700,13,16.897,0.016,0.016,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:41:3,0,0,0,1,9,10,0,0,0,0,0,0,0,0,0,0,0,95,105,0,1.013,3.700,20,19.731,0.016,0.016,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:41:15,0,0,0,0,12,3,1,0,0,0,0,0,0,0,0,0,0,0,72,0,1.013,3.700,16,15.367,0.016,0.016,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:41:26,0,0,0,1,9,6,1,0,0,0,0,0,0,0,0,0,0,154,72,0,1.013,3.700,17,17.613,0.016,0.016,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:41:38,0,0,0,2,10,7,1,0,0,0,1,0,0,0,0,0,0,86,53,0,1.013,3.700,21,26.785,0.016,0.016,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:41:49,0,0,0,0,11,6,3,0,0,0,0,0,0,0,0,0,0,0,68,0,1.013,3.700,20,24.886,0.016,0.016,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:42:0,0,0,0,0,5,7,2,1,0,0,0,0,0,0,0,0,0,0,76,212,1.013,3.700,15,25.035,0.016,0.016,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:42:11,0,0,0,0,10,9,3,0,0,0,0,0,0,0,0,0,0,0,109,0,1.013,3.700,22,28.135,0.017,0.017,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:42:23,0,0,0,0,11,10,1,0,0,0,0,0,0,0,0,0,0,0,64,0,1.013,3.700,22,23.869,0.017,0.017,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:42:34,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,99,0,1.013,3.700,20,20.043,0.017,0.017,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:42:45,0,0,0,0,9,6,0,0,0,1,0,0,0,0,0,0,0,0,80,0,1.013,3.700,16,22.627,0.017,0.017,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:42:57,0,0,0,0,11,7,2,0,1,0,0,0,0,0,0,0,0,0,87,0,1.013,3.700,21,31.281,0.017,0.017,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:43:8,0,0,0,2,12,5,1,0,1,0,0,0,0,0,0,0,0,26,77,0,1.013,3.700,21,26.969,0.017,0.017,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:43:19,0,0,0,0,8,4,1,1,0,0,0,0,0,0,0,0,0,0,84,145,1.013,3.700,14,20.032,0.017,0.017,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
12/7/18 10:43:31,0,0,0,0,7,8,1,0,1,1,0,0,0,0,0,0,0,0,83,0,1.013,3.700,18,35.224,0.017,0.017,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
