Dust monitor control board firmware version,2.03
Live_AlarmThresh,100.000
TWA8hr_AlarmThresh,10.000
TWA15m_AlarmThresh,10.000
OPC-N2 176880705                                            
OPC-N2 FirmwareVer=OPC-018.2.TRX..........................BD
Gain scaling coeff,1.000
Init Sample Flow Rate (ml/s),3.700
Laser DAC setting,179
Fan DAC setting,255
ToF to SFR factor,74
Bins,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Bin high boundary (ADC o/p),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
Volume of a particle in bin (um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
Density of a particle in bin (g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
Sample volume weighting for bin,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Data:
DateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Checksum,PMr,AvgLongValue,AvgShortValue,LiveUnits,AvgShortUnits,AvgLongUnits,LogRate(s),Channel_1,Channel_2
30/7/18 0:0:14,0,0,0,6,36,21,3,1,0,0,0,0,0,0,0,0,0,59,73,138,1.013,3.700,67,70.250,0.017,0.040,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
30/7/18 0:0:25,0,0,0,8,39,22,1,0,0,0,0,0,0,0,0,0,0,83,62,0,1.013,3.700,70,62.008,0.017,0.040,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
30/7/18 0:0:37,0,0,0,9,34,17,0,1,0,0,0,0,0,0,0,0,0,112,83,37,1.013,3.700,61,55.347,0.017,0.040,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
30/7/18 0:0:48,0,0,0,13,53,52,6,0,1,0,0,0,0,0,0,0,0,65,67,0,1.013,3.700,125,136.870,0.017,0.041,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
30/7/18 0:0:59,0,0,0,4,29,24,0,1,0,0,0,0,0,0,0,0,0,46,79,137,1.013,3.700,58,59.190,0.017,0.041,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
30/7/18 0:1:11,0,0,0,12,48,25,3,0,0,0,0,0,0,0,0,0,0,72,61,0,1.013,3.700,88,79.954,0.017,0.041,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
30/7/18 0:1:22,0,0,0,0,46,32,1,0,0,0,0,0,0,0,0,0,0,0,81,0,1.013,3.700,79,76.944,0.017,0.042,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
30/7/18 0:1:33,0,0,0,14,30,26,1,0,0,0,0,0,1,0,0,0,0,56,76,0,1.013,3.700,72,65.527,0.017,0.042,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
30/7/18 0:1:45,0,0,0,6,39,26,4,2,0,0,0,0,0,0,0,0,0,91,77,119,1.013,3.700,77,88.141,0.017,0.043,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
30/7/18 0:1:56,0,0,0,11,43,24,1,0,0,0,0,0,0,0,0,0,0,63,62,0,1.013,3.700,79,68.536,0.017,0.043,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
