Dust monitor control board firmware version,2.03
Live_AlarmThresh,100.000
TWA8hr_AlarmThresh,10.000
TWA15m_AlarmThresh,10.000
OPC-N2 176880705                                            
OPC-N2 FirmwareVer=OPC-018.2.TRX..........................BD
Gain scaling coeff,1.000
Init Sample Flow Rate (ml/s),3.700
Laser DAC setting,179
Fan DAC setting,255
ToF to SFR factor,74
Bins,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Bin high boundary (ADC o/p),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
Volume of a particle in bin (um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
Density of a particle in bin (g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
Sample volume weighting for bin,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Data:
DateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Checksum,PMr,AvgLongValue,AvgShortValue,LiveUnits,AvgShortUnits,AvgLongUnits,LogRate(s),Channel_1,Channel_2
19/7/18 0:0:14,0,0,0,12,6,4,0,0,1,0,0,1,0,0,0,0,0,49,41,0,1.013,3.700,24,26.437,0.020,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:0:26,0,0,1,8,7,3,1,0,0,0,0,0,0,0,0,0,0,29,51,0,1.013,3.700,20,15.117,0.020,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:0:37,0,0,0,11,5,2,2,1,0,0,0,0,0,0,0,0,0,53,31,125,1.013,3.700,21,22.639,0.020,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:0:48,0,0,1,8,1,7,2,1,0,0,0,0,0,0,0,0,0,39,37,48,1.013,3.700,20,25.477,0.020,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:1:0,0,0,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,75,48,114,1.013,3.700,6,14.458,0.020,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:1:11,0,0,0,8,3,4,0,0,0,0,0,0,0,0,0,0,0,48,34,0,1.013,3.700,15,10.360,0.020,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:1:22,0,0,0,14,7,7,2,0,0,0,0,0,0,0,0,0,0,43,50,0,1.013,3.700,30,25.609,0.020,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:1:34,0,0,1,9,1,4,0,1,0,0,0,0,0,0,0,0,0,48,44,25,1.013,3.700,16,15.646,0.020,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:1:45,0,0,0,9,3,3,1,0,0,0,0,0,0,0,0,0,0,35,46,0,1.014,3.700,16,12.561,0.020,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:1:56,0,0,0,10,2,2,1,0,0,1,0,0,0,0,0,0,0,44,67,0,1.013,3.700,16,19.465,0.020,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:2:8,0,0,0,11,5,1,1,0,0,0,0,0,0,0,0,0,0,53,23,0,1.013,3.700,18,12.074,0.020,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:2:19,0,0,1,8,1,1,2,0,0,0,0,0,0,0,0,0,0,38,69,0,1.013,3.700,13,11.480,0.020,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:2:30,0,0,2,8,2,5,1,0,0,0,0,0,0,0,0,0,0,44,34,0,1.013,3.700,18,14.461,0.020,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:2:42,0,0,0,6,5,3,0,1,0,0,0,0,0,0,0,0,0,52,40,91,1.013,3.700,15,15.787,0.020,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:2:53,0,0,0,5,3,6,0,0,0,0,0,0,0,0,0,0,0,43,48,0,1.013,3.700,14,11.849,0.020,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:3:4,0,0,0,13,2,3,1,0,1,0,0,0,0,0,0,0,0,48,29,0,1.013,3.700,20,21.604,0.020,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:3:16,0,0,0,8,4,1,1,0,1,1,0,0,0,0,0,0,0,48,15,0,1.013,3.700,16,26.992,0.020,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:3:27,0,0,0,8,5,3,0,0,0,0,0,0,0,0,0,0,0,31,46,0,1.013,3.700,16,10.429,0.020,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:3:38,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,47,19,0,1.013,3.700,11,5.106,0.020,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:3:50,0,0,0,10,5,1,3,1,1,0,0,0,0,0,0,0,0,39,23,49,1.013,3.700,21,32.300,0.020,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:4:1,0,0,0,11,5,2,0,0,0,0,0,0,0,0,0,0,0,41,35,0,1.013,3.700,18,10.253,0.020,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:4:12,0,0,0,2,4,0,1,1,1,0,0,0,0,0,0,0,0,41,0,27,1.013,3.700,9,20.992,0.020,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:4:25,0,0,1,10,5,3,2,0,0,0,0,0,0,0,0,0,0,53,27,0,1.013,3.700,21,17.629,0.020,0.015,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:4:36,0,0,0,9,3,2,2,0,0,1,0,0,0,0,0,0,0,56,49,0,1.013,3.700,17,22.911,0.020,0.016,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:4:47,0,0,0,8,6,3,3,1,0,0,0,0,0,0,0,0,0,35,44,114,1.013,3.700,21,26.641,0.020,0.016,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:4:58,0,0,0,7,3,1,2,0,0,0,1,0,0,0,0,0,0,32,17,0,1.013,3.700,14,19.101,0.020,0.016,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:5:10,0,0,0,11,2,3,0,0,1,0,0,0,0,0,0,0,0,46,36,0,1.013,3.700,17,17.711,0.020,0.016,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:5:21,0,0,0,6,3,7,0,0,0,0,1,0,0,0,0,0,0,41,54,0,1.013,3.700,17,20.331,0.020,0.016,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:5:32,0,0,0,8,8,3,0,1,0,0,0,0,0,0,0,0,0,45,68,25,1.013,3.700,20,18.618,0.020,0.016,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:5:44,0,0,0,11,4,2,2,0,1,0,0,0,0,0,0,0,0,42,37,0,1.013,3.700,20,24.050,0.020,0.016,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:5:55,0,0,0,7,6,5,2,1,0,0,0,0,0,0,0,0,0,38,63,50,1.013,3.700,21,25.754,0.020,0.016,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:6:6,0,0,0,14,5,8,1,0,1,0,1,0,0,0,0,0,0,49,35,0,1.013,3.700,30,37.413,0.020,0.016,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
19/7/18 0:6:18,0,0,0,11,8,4,3,0,1,0,0,0,0,0,0,0,0,39,34,0,1.013,3.700,27,32.575,0.020,0.016,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
