Dust monitor control board firmware version,2.03
Live_AlarmThresh,100.000
TWA8hr_AlarmThresh,10.000
TWA15m_AlarmThresh,10.000
OPC-N2 176880705                                            
OPC-N2 FirmwareVer=OPC-018.2.TRX..........................BD
Gain scaling coeff,1.000
Init Sample Flow Rate (ml/s),3.700
Laser DAC setting,179
Fan DAC setting,255
ToF to SFR factor,74
Bins,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Bin high boundary (ADC o/p),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
Volume of a particle in bin (um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
Density of a particle in bin (g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
Sample volume weighting for bin,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Data:
DateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Checksum,PMr,AvgLongValue,AvgShortValue,LiveUnits,AvgShortUnits,AvgLongUnits,LogRate(s),Channel_1,Channel_2
22/7/18 0:0:15,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,45,33,0,1.013,3.700,8,5.836,0.011,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
22/7/18 0:0:26,0,0,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,50,48,0,1.013,3.700,10,7.379,0.011,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
22/7/18 0:0:38,0,0,3,3,3,3,1,0,0,0,0,1,0,0,0,0,0,44,37,0,1.013,3.700,14,15.070,0.011,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
22/7/18 0:0:49,0,0,4,3,4,1,1,0,0,0,0,0,0,0,0,0,0,31,49,0,1.013,3.700,13,9.037,0.011,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
22/7/18 0:1:0,0,0,2,7,2,2,0,0,0,0,0,0,0,0,0,0,0,44,47,0,1.013,3.700,13,7.007,0.011,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
22/7/18 0:1:11,0,0,3,4,1,0,0,1,1,0,1,0,0,0,0,0,0,38,0,47,1.013,3.700,11,23.847,0.011,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
22/7/18 0:1:23,0,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,37,23,0,1.013,3.700,8,3.760,0.011,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
22/7/18 0:1:34,0,0,1,5,3,0,0,1,0,0,0,0,0,0,0,0,0,46,0,62,1.013,3.700,10,10.257,0.011,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
22/7/18 0:1:45,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,1.013,3.700,9,3.621,0.011,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
22/7/18 0:1:57,0,0,3,5,2,1,2,0,0,0,0,0,0,0,0,0,0,47,74,0,1.013,3.700,13,11.377,0.011,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
22/7/18 0:2:8,0,0,3,7,4,1,1,0,0,0,0,0,0,0,0,0,0,29,74,0,1.013,3.700,16,10.382,0.011,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
22/7/18 0:2:19,0,0,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,42,0,0,1.013,3.700,7,5.307,0.011,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
22/7/18 0:2:31,0,0,2,6,1,3,0,1,1,0,0,0,0,0,0,0,0,32,44,48,1.013,3.700,14,21.584,0.011,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
22/7/18 0:2:42,0,0,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0,50,40,0,1.013,3.700,10,6.699,0.011,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
22/7/18 0:2:53,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,1.013,3.700,9,4.036,0.011,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
22/7/18 0:3:5,0,0,3,7,2,2,0,0,0,0,1,0,0,0,0,0,0,43,46,0,1.013,3.700,15,13.968,0.011,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
22/7/18 0:3:16,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,1.013,3.700,8,3.658,0.011,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
22/7/18 0:3:27,0,0,1,7,1,0,1,0,0,0,0,0,0,0,0,0,0,37,0,0,1.013,3.700,10,6.652,0.011,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
22/7/18 0:3:39,0,0,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,40,54,0,1.013,3.700,9,4.556,0.011,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
22/7/18 0:3:50,0,0,1,6,0,0,1,0,0,0,1,0,0,0,0,0,0,31,0,0,1.013,3.700,9,12.372,0.011,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
22/7/18 0:4:1,0,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,1.013,3.700,10,5.143,0.011,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
22/7/18 0:4:13,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,39,0,0,1.013,3.700,6,4.409,0.011,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
22/7/18 0:4:25,0,0,1,7,6,0,1,0,0,0,0,0,0,0,0,0,0,54,0,0,1.013,3.700,15,10.107,0.011,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
22/7/18 0:4:36,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,1.013,3.700,3,0.930,0.011,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
22/7/18 0:4:48,0,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,45,55,0,1.013,3.700,11,5.417,0.011,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
22/7/18 0:4:59,0,0,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,32,23,0,1.013,3.700,8,4.072,0.011,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
