Dust monitor control board firmware version,2.03
Live_AlarmThresh,100.000
TWA8hr_AlarmThresh,10.000
TWA15m_AlarmThresh,10.000
OPC-N2 176880705                                            
OPC-N2 FirmwareVer=OPC-018.2.TRX..........................BD
Gain scaling coeff,1.000
Init Sample Flow Rate (ml/s),3.700
Laser DAC setting,179
Fan DAC setting,255
ToF to SFR factor,74
Bins,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Bin high boundary (ADC o/p),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
Volume of a particle in bin (um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
Density of a particle in bin (g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
Sample volume weighting for bin,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Data:
DateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Checksum,PMr,AvgLongValue,AvgShortValue,LiveUnits,AvgShortUnits,AvgLongUnits,LogRate(s),Channel_1,Channel_2
23/7/18 0:0:14,0,0,7,23,18,3,1,0,0,0,0,0,0,0,0,0,0,38,34,0,1.013,3.700,52,29.437,0.014,0.024,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
23/7/18 0:0:26,0,0,8,20,12,2,0,0,0,0,0,0,0,0,0,0,0,55,18,0,1.013,3.700,42,19.876,0.014,0.024,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
23/7/18 0:0:37,0,0,2,24,11,3,0,0,0,0,0,0,0,0,0,0,0,34,31,0,1.013,3.700,40,20.985,0.014,0.024,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
23/7/18 0:0:48,0,0,10,22,10,4,2,0,0,0,0,0,0,0,0,0,0,44,42,0,1.013,3.700,48,28.493,0.014,0.024,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
23/7/18 0:1:0,0,0,2,26,12,5,0,0,0,0,0,0,0,0,0,0,0,46,26,0,1.013,3.700,45,25.061,0.014,0.024,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
23/7/18 0:1:11,0,0,2,21,7,3,0,0,0,0,0,0,0,0,0,0,0,49,33,0,1.013,3.700,33,17.084,0.014,0.024,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
23/7/18 0:1:22,0,0,4,26,7,1,0,0,0,0,0,0,0,0,0,0,0,48,23,0,1.013,3.700,38,16.696,0.014,0.024,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
23/7/18 0:1:34,0,0,4,29,13,4,0,0,1,0,0,0,0,0,0,0,0,43,47,0,1.013,3.700,51,34.137,0.014,0.024,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
23/7/18 0:1:45,0,0,7,22,11,3,1,0,0,0,0,0,0,0,0,0,0,54,75,0,1.013,3.700,44,24.221,0.014,0.024,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
23/7/18 0:1:56,0,0,2,30,8,2,0,0,0,0,0,0,0,0,0,0,0,43,22,0,1.013,3.700,42,19.874,0.014,0.024,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
