Dust monitor control board firmware version,2.03
Live_AlarmThresh,100.000
TWA8hr_AlarmThresh,10.000
TWA15m_AlarmThresh,10.000
OPC-N2 176880705                                            
OPC-N2 FirmwareVer=OPC-018.2.TRX..........................BD
Gain scaling coeff,1.000
Init Sample Flow Rate (ml/s),3.700
Laser DAC setting,179
Fan DAC setting,255
ToF to SFR factor,74
Bins,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Bin high boundary (ADC o/p),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
Volume of a particle in bin (um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
Density of a particle in bin (g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
Sample volume weighting for bin,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Data:
DateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Checksum,PMr,AvgLongValue,AvgShortValue,LiveUnits,AvgShortUnits,AvgLongUnits,LogRate(s),Channel_1,Channel_2
16/7/18 0:0:14,0,0,2,5,0,3,0,0,0,1,0,0,0,0,0,0,0,46,36,0,1.013,3.700,11,14.708,0.007,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
16/7/18 0:0:25,0,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,40,48,0,1.013,3.700,8,6.932,0.007,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
16/7/18 0:0:37,0,0,0,4,1,3,1,0,0,0,0,0,0,0,0,0,0,27,52,0,1.013,3.700,9,9.283,0.007,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
16/7/18 0:0:48,0,0,1,2,0,2,1,0,0,1,2,0,0,0,0,0,0,35,29,0,1.013,3.700,9,28.799,0.007,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
16/7/18 0:0:59,0,0,1,3,1,1,2,1,0,0,0,0,0,0,0,0,0,33,75,113,1.013,3.700,9,15.701,0.007,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
16/7/18 0:1:11,0,0,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,42,25,0,1.013,3.700,10,3.896,0.007,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
16/7/18 0:1:22,0,0,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,1.013,3.700,11,4.380,0.007,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
16/7/18 0:1:33,0,0,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,19,101,60,1.013,3.700,7,8.496,0.007,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
16/7/18 0:1:45,0,0,2,7,1,0,1,0,0,0,0,0,0,0,0,0,0,34,0,0,1.013,3.700,11,6.824,0.007,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
16/7/18 0:1:56,0,0,3,4,1,3,0,0,1,0,0,0,0,0,0,0,0,35,35,0,1.013,3.700,12,14.881,0.007,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
16/7/18 0:2:7,0,0,0,4,5,1,1,0,0,0,0,0,0,0,0,0,0,50,19,0,1.013,3.700,11,9.420,0.007,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
16/7/18 0:2:18,0,0,0,5,0,3,0,0,1,0,0,0,0,0,0,0,0,42,39,0,1.013,3.700,9,14.054,0.007,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
16/7/18 0:2:30,0,0,3,6,1,0,2,0,0,0,0,0,0,0,0,0,0,27,0,0,1.013,3.700,12,9.752,0.007,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
16/7/18 0:2:41,0,0,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,39,36,0,1.013,3.700,9,8.765,0.007,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
16/7/18 0:2:52,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,1.013,3.700,7,3.070,0.007,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
16/7/18 0:3:4,0,0,2,5,1,1,0,0,0,0,1,0,0,0,0,0,0,38,48,0,1.013,3.700,10,11.033,0.007,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
16/7/18 0:3:15,0,0,4,7,3,0,1,1,0,0,0,0,0,0,0,0,0,39,0,57,1.013,3.700,16,14.666,0.007,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
16/7/18 0:3:26,0,0,2,9,5,1,0,0,0,0,0,0,0,0,0,0,0,41,27,0,1.013,3.700,17,8.524,0.007,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
16/7/18 0:3:38,0,0,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,41,75,0,1.013,3.700,8,6.725,0.007,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
16/7/18 0:3:49,0,0,2,2,3,3,2,0,0,0,0,0,0,0,0,0,0,67,31,0,1.013,3.700,12,13.385,0.007,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
16/7/18 0:4:0,0,0,1,4,1,2,0,0,1,0,0,0,0,0,0,0,0,52,34,0,1.013,3.700,9,13.224,0.007,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
16/7/18 0:4:12,0,0,3,7,3,1,2,0,0,0,0,0,0,0,0,0,0,49,77,0,1.013,3.700,16,12.826,0.007,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
16/7/18 0:4:24,0,0,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,48,0,0,1.013,3.700,10,6.757,0.007,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
16/7/18 0:4:35,0,0,1,7,1,2,2,0,0,0,0,0,0,0,0,0,0,41,60,0,1.013,3.700,13,12.414,0.007,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
16/7/18 0:4:47,0,0,3,7,2,1,1,1,0,0,0,0,0,0,0,0,0,41,50,85,1.014,3.700,15,15.116,0.007,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
16/7/18 0:4:58,0,0,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,42,41,0,1.013,3.700,7,10.103,0.007,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
16/7/18 0:5:9,0,0,2,7,2,1,1,0,0,1,0,0,0,0,0,0,0,45,95,0,1.013,3.700,14,17.357,0.007,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
16/7/18 0:5:21,0,0,4,6,1,0,1,0,0,0,0,0,0,0,0,0,0,60,0,0,1.013,3.700,12,6.788,0.007,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
16/7/18 0:5:32,0,0,1,5,3,2,0,0,0,0,0,0,0,0,0,0,0,41,21,0,1.013,3.700,11,6.767,0.007,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
16/7/18 0:5:43,0,0,3,9,5,3,2,0,0,0,0,0,0,0,0,0,0,40,29,0,1.013,3.700,22,17.593,0.007,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
16/7/18 0:5:55,0,0,2,5,0,3,0,1,0,0,0,0,0,0,0,0,0,39,22,78,1.013,3.700,11,12.296,0.007,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
16/7/18 0:6:6,0,0,5,8,2,1,0,0,0,0,0,0,0,0,0,0,0,34,56,0,1.013,3.700,16,6.588,0.007,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
