Dust monitor control board firmware version,2.03
Live_AlarmThresh,100.000
TWA8hr_AlarmThresh,10.000
TWA15m_AlarmThresh,10.000
OPC-N2 176880705                                            
OPC-N2 FirmwareVer=OPC-018.2.TRX..........................BD
Gain scaling coeff,1.000
Init Sample Flow Rate (ml/s),3.700
Laser DAC setting,179
Fan DAC setting,255
ToF to SFR factor,74
Bins,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Bin high boundary (ADC o/p),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
Volume of a particle in bin (um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
Density of a particle in bin (g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
Sample volume weighting for bin,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Data:
DateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Checksum,PMr,AvgLongValue,AvgShortValue,LiveUnits,AvgShortUnits,AvgLongUnits,LogRate(s),Channel_1,Channel_2
31/7/18 0:0:15,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,69,42,0,1.013,3.700,6,6.946,0.008,0.010,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
31/7/18 0:0:26,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1.013,3.700,3,2.695,0.008,0.010,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
31/7/18 0:0:37,0,0,0,1,1,5,2,0,0,0,0,0,0,0,1,0,0,42,55,0,1.013,3.700,10,14.422,0.008,0.010,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
31/7/18 0:0:49,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,51,44,0,1.013,3.700,6,4.767,0.008,0.010,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
31/7/18 0:1:0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,51,25,0,1.013,3.700,5,3.142,0.008,0.010,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
31/7/18 0:1:11,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,56,49,0,1.013,3.700,7,6.080,0.008,0.010,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
31/7/18 0:1:22,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,65,50,0,1.013,3.700,7,6.656,0.008,0.010,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
31/7/18 0:1:34,0,0,0,5,5,4,2,0,0,0,0,0,0,0,0,0,0,46,49,0,1.013,3.700,16,16.874,0.008,0.010,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
31/7/18 0:1:45,0,0,0,4,0,2,0,0,1,0,0,0,0,0,0,0,0,67,61,0,1.013,3.700,7,12.361,0.008,0.010,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
31/7/18 0:1:56,0,0,0,3,2,2,1,1,0,0,0,0,0,0,0,0,0,40,80,33,1.013,3.700,9,14.398,0.008,0.010,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
31/7/18 0:2:8,0,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,40,38,0,1.013,3.700,7,8.524,0.008,0.010,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
31/7/18 0:2:19,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,1.013,3.700,5,2.208,0.008,0.010,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
31/7/18 0:2:30,0,0,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,65,53,0,1.014,3.700,10,8.152,0.008,0.010,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
31/7/18 0:2:42,0,0,0,4,4,3,1,2,1,0,0,0,0,0,0,0,0,49,39,26,1.013,3.700,15,31.807,0.008,0.010,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
31/7/18 0:2:53,0,0,0,4,2,3,0,0,0,1,0,0,0,0,0,0,0,47,67,0,1.013,3.700,10,15.367,0.008,0.010,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
31/7/18 0:3:4,0,0,0,3,2,3,1,1,0,0,0,0,0,0,0,0,0,56,27,47,1.013,3.700,10,15.711,0.008,0.010,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
