Dust monitor control board firmware version,2.03
Live_AlarmThresh,100.000
TWA8hr_AlarmThresh,10.000
TWA15m_AlarmThresh,10.000
OPC-N2 176880705                                            
OPC-N2 FirmwareVer=OPC-018.2.TRX..........................BD
Gain scaling coeff,1.000
Init Sample Flow Rate (ml/s),3.700
Laser DAC setting,179
Fan DAC setting,255
ToF to SFR factor,74
Bins,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Bin high boundary (ADC o/p),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
Volume of a particle in bin (um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
Density of a particle in bin (g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
Sample volume weighting for bin,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Data:
DateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Checksum,PMr,AvgLongValue,AvgShortValue,LiveUnits,AvgShortUnits,AvgLongUnits,LogRate(s),Channel_1,Channel_2
26/7/18 0:0:14,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,40,37,0,1.013,3.700,7,6.968,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:0:25,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,43,21,0,1.013,3.700,6,3.625,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:0:37,0,0,0,1,2,3,0,0,1,0,0,0,0,0,0,0,0,36,55,0,1.013,3.700,7,13.919,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:0:48,0,0,0,6,1,1,0,0,0,0,1,0,0,0,0,0,0,44,23,0,1.013,3.700,9,11.069,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:0:59,0,0,1,4,2,2,2,1,0,0,0,0,0,0,0,0,0,45,21,135,1.013,3.700,12,18.084,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:1:11,0,0,1,3,2,0,1,1,0,0,0,0,0,0,0,0,0,54,0,77,1.013,3.700,8,11.943,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:1:22,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1.013,3.700,2,1.485,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:1:33,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,54,27,0,1.013,3.700,4,2.763,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:1:45,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,24,52,102,1.013,3.700,5,8.879,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:1:56,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,14,33,0,1.013,3.700,7,4.939,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:2:7,0,0,2,1,4,1,0,1,0,0,0,0,0,0,0,0,0,51,29,48,1.013,3.700,9,10.916,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:2:19,0,0,0,3,2,3,0,1,0,0,0,0,0,0,0,0,0,49,46,50,1.013,3.700,9,12.576,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:2:30,0,0,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,55,0,0,1.013,3.700,8,7.348,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:2:41,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,1.013,3.700,6,2.380,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:2:52,0,0,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,44,112,0,1.013,3.700,9,4.763,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:3:4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,1.013,3.700,3,1.449,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:3:15,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,45,0,52,1.013,3.700,3,7.187,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:3:26,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,28,17,49,1.013,3.700,5,11.323,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:3:38,0,0,3,6,0,0,1,0,0,0,0,0,0,0,0,0,0,41,0,0,1.013,3.700,10,5.926,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:3:49,0,0,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,33,37,0,1.013,3.700,9,5.905,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:4:0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,54,23,0,1.014,3.700,5,2.934,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:4:12,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,46,57,0,1.014,3.700,6,5.965,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:4:24,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,47,63,1.013,3.700,4,8.812,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:4:35,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,53,25,0,1.013,3.700,7,6.449,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:4:47,0,0,0,5,1,1,2,0,0,0,0,0,0,0,0,0,0,42,23,0,1.013,3.700,9,10.171,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:4:58,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,1.013,3.700,5,2.520,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:5:9,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,37,0,57,1.013,3.700,4,7.566,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:5:21,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.013,3.700,2,0.863,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:5:32,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,1.013,3.700,8,3.450,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:5:43,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,67,43,0,1.013,3.700,7,4.005,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:5:55,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,59,1.013,3.700,2,6.807,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:6:6,0,0,0,5,2,2,2,1,0,0,0,0,0,0,0,0,0,46,32,49,1.013,3.700,12,18.292,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:6:17,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,27,0,0,1.013,3.700,5,5.276,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:6:29,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,1.013,3.700,3,1.138,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:6:40,0,0,2,3,2,0,1,1,0,1,0,0,0,0,0,0,0,39,0,135,1.013,3.700,10,20.643,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:6:51,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,46,0,84,1.013,3.700,5,7.426,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:7:3,0,0,1,3,3,1,0,0,1,0,0,0,0,0,0,0,0,55,76,0,1.013,3.700,9,12.913,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:7:14,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,1.013,3.700,4,1.309,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:7:25,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,1.013,3.700,3,1.449,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:7:37,0,0,0,3,1,2,0,0,0,1,0,0,0,0,0,0,0,53,30,0,1.013,3.700,7,12.984,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:7:48,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,39,47,0,1.013,3.700,7,4.212,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:7:59,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,1.013,3.700,3,1.449,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:8:10,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,39,47,0,1.013,3.700,6,8.514,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:8:22,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.013,3.700,2,1.382,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:8:33,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,32,22,0,1.013,3.700,8,6.459,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:8:45,0,0,0,2,4,0,0,2,0,0,0,0,0,0,0,0,0,54,0,40,1.013,3.700,8,15.755,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:8:57,0,0,0,6,2,0,1,0,0,0,0,0,0,0,0,0,0,52,0,0,1.013,3.700,9,6.792,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:9:8,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,55,33,0,1.013,3.700,7,4.939,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
26/7/18 0:9:19,0,0,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,40,41,0,1.013,3.700,8,9.630,0.006,0.008,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
