Dust monitor control board firmware version,2.03
Live_AlarmThresh,100.000
TWA8hr_AlarmThresh,10.000
TWA15m_AlarmThresh,10.000
OPC-N2 176880705                                            
OPC-N2 FirmwareVer=OPC-018.2.TRX..........................BD
Gain scaling coeff,1.000
Init Sample Flow Rate (ml/s),3.700
Laser DAC setting,179
Fan DAC setting,255
ToF to SFR factor,74
Bins,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Bin high boundary (ADC o/p),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
Volume of a particle in bin (um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
Density of a particle in bin (g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
Sample volume weighting for bin,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Data:
DateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Checksum,PMr,AvgLongValue,AvgShortValue,LiveUnits,AvgShortUnits,AvgLongUnits,LogRate(s),Channel_1,Channel_2
29/7/18 0:0:15,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,47,50,0,1.013,3.700,5,9.276,0.007,0.012,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
29/7/18 0:0:26,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,46,74,0,1.013,3.700,7,4.835,0.007,0.012,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
29/7/18 0:0:37,0,0,0,3,5,3,0,0,1,0,0,0,0,0,0,0,0,49,49,0,1.013,3.700,12,16.750,0.007,0.012,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
29/7/18 0:0:49,0,0,0,2,0,4,1,1,0,0,0,0,0,0,0,0,0,38,48,81,1.013,3.700,8,15.263,0.007,0.012,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
29/7/18 0:1:0,0,0,0,2,2,4,2,1,0,0,0,0,0,0,1,0,0,56,35,27,1.013,3.700,12,20.295,0.007,0.012,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
29/7/18 0:1:11,0,0,0,2,2,1,4,1,1,0,0,0,0,0,0,0,0,15,57,79,1.013,3.700,11,30.329,0.007,0.012,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
29/7/18 0:1:23,0,0,0,2,4,2,1,0,0,0,0,0,0,0,0,0,0,46,62,0,1.013,3.700,9,9.284,0.007,0.013,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
29/7/18 0:1:34,0,0,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,34,23,0,1.013,3.700,8,9.791,0.007,0.013,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
29/7/18 0:1:45,0,0,0,4,4,2,0,0,0,1,0,0,0,0,0,0,0,33,45,0,1.013,3.700,11,15.436,0.007,0.013,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
29/7/18 0:1:57,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,39,0,1.013,3.700,5,9.588,0.007,0.013,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
29/7/18 0:2:8,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,47,25,0,1.013,3.700,9,5.594,0.007,0.013,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
29/7/18 0:2:19,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,77,33,0,1.013,3.700,9,7.151,0.007,0.013,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
29/7/18 0:2:31,0,0,0,1,2,4,0,1,0,0,0,0,0,0,0,0,0,38,49,62,1.013,3.700,8,13.131,0.007,0.013,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
29/7/18 0:2:42,0,0,0,3,3,4,2,0,0,0,0,0,0,0,0,0,0,50,37,0,1.013,3.700,12,14.734,0.007,0.013,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
29/7/18 0:2:53,0,0,0,3,4,5,1,1,0,0,0,0,0,0,0,0,0,62,42,27,1.013,3.700,14,19.719,0.007,0.013,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
29/7/18 0:3:4,0,0,0,3,5,4,1,0,0,0,0,0,0,0,0,0,0,43,54,0,1.013,3.700,13,12.981,0.007,0.013,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
29/7/18 0:3:16,0,0,0,3,0,3,2,1,1,0,0,0,0,0,0,0,0,62,55,47,1.013,3.700,10,25.682,0.007,0.013,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
29/7/18 0:3:27,0,0,0,4,3,1,1,0,0,0,0,0,0,0,0,0,0,35,47,0,1.013,3.700,9,8.038,0.007,0.013,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
29/7/18 0:3:38,0,0,0,3,2,2,2,1,0,0,0,0,0,0,0,0,0,34,48,50,1.013,3.700,10,17.533,0.007,0.013,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
29/7/18 0:3:50,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,39,49,1.013,3.700,6,15.082,0.007,0.013,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
29/7/18 0:4:1,0,0,0,2,3,3,1,0,0,0,0,0,0,0,0,0,0,60,34,0,1.013,3.700,9,9.906,0.007,0.013,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
29/7/18 0:4:12,0,0,0,2,2,5,1,0,0,0,0,0,0,0,0,0,0,38,41,0,1.013,3.700,10,11.842,0.007,0.013,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
29/7/18 0:4:25,0,0,0,3,3,7,1,0,0,0,0,0,0,0,0,0,0,52,50,0,1.013,3.700,14,15.539,0.007,0.013,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
29/7/18 0:4:36,0,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,31,55,0,1.013,3.700,8,8.016,0.007,0.013,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
29/7/18 0:4:47,0,0,0,1,5,2,2,0,0,0,0,0,0,0,0,0,0,38,37,0,1.013,3.700,10,12.731,0.007,0.013,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
29/7/18 0:4:59,0,0,0,1,3,5,2,1,0,1,0,0,0,0,0,0,0,50,38,105,1.013,3.700,13,29.934,0.007,0.013,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
29/7/18 0:5:10,0,0,0,3,3,2,4,0,0,0,0,0,0,0,0,0,0,32,32,0,1.013,3.700,12,18.378,0.007,0.013,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
29/7/18 0:5:21,0,0,1,3,3,1,3,0,2,0,0,1,0,0,0,0,0,47,50,0,1.013,3.700,14,34.806,0.007,0.013,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
29/7/18 0:5:33,0,0,0,2,3,6,1,1,0,0,0,0,0,0,0,0,0,28,31,91,1.013,3.700,13,19.963,0.007,0.013,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
